id,user_id,workspace_id,folder_id,name,description,state,color,last_synced,created_at,updated_at,is_deployed,deployed_state,deployed_at,collaborators,run_count,last_run_at,variables,is_published,marketplace_data
79e8076f-0ae0-4b6f-9d14-65364ddae6d2,sEfcNW1TZedrJ8mDW81UFVtZpZXVd3Mf,f639bbc2-cbda-49c3-9301-9c632c8e86e2,,default-agent,Your first workflow - start building here!,"{""blocks"":{""cb7ebf84-9d43-45bf-a327-cca64d30d602"":{""id"":""cb7ebf84-9d43-45bf-a327-cca64d30d602"",""type"":""starter"",""name"":""Start"",""position"":{""x"":100,""y"":100},""subBlocks"":{""startWorkflow"":{""id"":""startWorkflow"",""type"":""dropdown"",""value"":""manual""},""webhookPath"":{""id"":""webhookPath"",""type"":""short-input"",""value"":""""},""webhookSecret"":{""id"":""webhookSecret"",""type"":""short-input"",""value"":""""},""scheduleType"":{""id"":""scheduleType"",""type"":""dropdown"",""value"":""daily""},""minutesInterval"":{""id"":""minutesInterval"",""type"":""short-input"",""value"":""""},""minutesStartingAt"":{""id"":""minutesStartingAt"",""type"":""short-input"",""value"":""""}},""outputs"":{""response"":{""type"":{""input"":""any""}}},""enabled"":true,""horizontalHandles"":true,""isWide"":false,""height"":95}},""edges"":[],""subflows"":{},""variables"":{},""metadata"":{""version"":""1.0.0"",""createdAt"":""2025-07-22T07:10:51.778Z"",""updatedAt"":""2025-07-22T07:10:51.778Z""}}",#3972F6,2025-07-22 07:10:51.778,2025-07-22 07:10:51.778,2025-07-22 07:10:51.778,false,,,[],0,,{},false,
81e98d1e-459d-4e1d-b9c3-e1e56f8155ab,H2sjCYSjVkkhay0GpyXM53XmEWwDVgjc,d8b61a6b-d682-4d70-8f39-1261eb4d880b,,workflow-test,Your first workflow - start building here!,"{""blocks"":{""f668ee62-8abb-49df-9b4e-b7d5e18f11df"":{""id"":""f668ee62-8abb-49df-9b4e-b7d5e18f11df"",""type"":""starter"",""name"":""Start"",""position"":{""x"":100,""y"":100},""subBlocks"":{""startWorkflow"":{""id"":""startWorkflow"",""type"":""dropdown"",""value"":""manual""},""webhookPath"":{""id"":""webhookPath"",""type"":""short-input"",""value"":""""},""webhookSecret"":{""id"":""webhookSecret"",""type"":""short-input"",""value"":""""},""scheduleType"":{""id"":""scheduleType"",""type"":""dropdown"",""value"":""daily""},""minutesInterval"":{""id"":""minutesInterval"",""type"":""short-input"",""value"":""""},""minutesStartingAt"":{""id"":""minutesStartingAt"",""type"":""short-input"",""value"":""""}},""outputs"":{""response"":{""type"":{""input"":""any""}}},""enabled"":true,""horizontalHandles"":true,""isWide"":false,""height"":95}},""edges"":[],""subflows"":{},""variables"":{},""metadata"":{""version"":""1.0.0"",""createdAt"":""2025-07-21T14:25:55.945Z"",""updatedAt"":""2025-07-21T14:25:55.945Z""}}",#3972F6,2025-07-21 14:25:55.945,2025-07-21 14:25:55.945,2025-07-22 07:38:15.676,false,,,[],0,,{},false,
af18372b-03e8-45fd-9be5-3ac559c88f57,H2sjCYSjVkkhay0GpyXM53XmEWwDVgjc,d8b61a6b-d682-4d70-8f39-1261eb4d880b,,arctic-constellation,New workflow,"{""blocks"":{""1814dd59-5ded-43ed-9b90-549861b8bbde"":{""id"":""1814dd59-5ded-43ed-9b90-549861b8bbde"",""type"":""starter"",""name"":""Start"",""position"":{""x"":100,""y"":100},""subBlocks"":{""startWorkflow"":{""id"":""startWorkflow"",""type"":""dropdown"",""value"":""manual""},""webhookPath"":{""id"":""webhookPath"",""type"":""short-input"",""value"":""""},""webhookSecret"":{""id"":""webhookSecret"",""type"":""short-input"",""value"":""""},""scheduleType"":{""id"":""scheduleType"",""type"":""dropdown"",""value"":""daily""},""minutesInterval"":{""id"":""minutesInterval"",""type"":""short-input"",""value"":""""},""minutesStartingAt"":{""id"":""minutesStartingAt"",""type"":""short-input"",""value"":""""},""hourlyMinute"":{""id"":""hourlyMinute"",""type"":""short-input"",""value"":""""},""dailyTime"":{""id"":""dailyTime"",""type"":""short-input"",""value"":""""},""weeklyDay"":{""id"":""weeklyDay"",""type"":""dropdown"",""value"":""MON""},""weeklyDayTime"":{""id"":""weeklyDayTime"",""type"":""short-input"",""value"":""""},""monthlyDay"":{""id"":""monthlyDay"",""type"":""short-input"",""value"":""""},""monthlyTime"":{""id"":""monthlyTime"",""type"":""short-input"",""value"":""""},""cronExpression"":{""id"":""cronExpression"",""type"":""short-input"",""value"":""""},""timezone"":{""id"":""timezone"",""type"":""dropdown"",""value"":""UTC""}},""outputs"":{""response"":{""type"":{""input"":""any""}}},""enabled"":true,""horizontalHandles"":true,""isWide"":false,""height"":95}},""edges"":[],""subflows"":{},""variables"":{},""metadata"":{""version"":""1.0.0"",""createdAt"":""2025-07-21T14:26:24.553Z"",""updatedAt"":""2025-07-21T14:26:24.553Z""}}",#15803D,2025-07-21 14:26:24.553,2025-07-21 14:26:24.553,2025-07-21 14:26:24.553,false,,,[],0,,{},false,
